title,genre,premiere,seasons,length,status,upcoming,table
Bard of Blood,Espionage thriller,"September 27, 2019","1 season, 7 episodes",41–50 min.,Pending,,8
Skylines,Drama,"September 27, 2019","1 season, 6 episodes",47–66 min.,Pending,,8
,,,,,,,8
Brotherhood,Crime drama,"October 25, 2019[138]","1 season, 8 episodes",TBA,Pending,,8
Nowhere Man[139],Thriller,"October 31, 2019",TBA,TBA,Pending,,8
Hache[140],Thriller,"November 1, 2019[141]",TBA,TBA,Pending,,8
We Are the Wave,Drama,"November 1, 2019[142]","1 season, 6 episodes",TBA,Pending,,8
El club[143],Drama,"November 15, 2019[144]",TBA,TBA,Pending,,8
The Stranded[145],Fantasy drama,"November 15, 2019[146]",TBA,TBA,Pending,,8
Triad Princess[139],Crime drama/romance,"December 6, 2019",TBA,TBA,Pending,,8
Ares[147],Supernatural drama,"January 17, 2020[148]","1 season, 8 episodes",TBA,Pending,,8
Chef's Table,Culinary art,"April 26, 2015","6 volumes, 30 episodes",42–58 min.,Renewed[149],,9
Making a Murderer,Crime drama,"December 18, 2015","2 parts, 20 episodes",47–77 min.,Ended,,9
Chelsea Does,Comedy,"January 23, 2016","1 season, 4 episodes",62–74 min.,Ended[150],,9
Cooked,Culinary art,"February 19, 2016",4 episodes,50–58 min.,Miniseries,,9
Last Chance U,Sport,"July 29, 2016","4 parts, 30 episodes",52–76 min.,Renewed[151],,9
Fearless,Sport,"August 19, 2016",6 episodes,50–58 min.,Miniseries,,9
Chef's Table: France,Culinary art,"September 2, 2016","1 season, 4 episodes",41–54 min.,Ended,,9
Roman Empire,Historical drama,"November 11, 2016","3 seasons, 15 episodes",38–48 min.,Pending,,9
Captive,Documentary,"December 9, 2016",8 episodes,59–73 min.,Miniseries,,9
Abstract: The Art of Design,Biography,"February 10, 2017","2 seasons, 14 episodes",41–48 min.,Pending,,9
QB1: Beyond the Lights,Sport,"February 13, 2017","3 seasons, 30 episodes",28–41 min.,Pending,,9
13 Reasons Why: Beyond the Reasons,Interview,"March 31, 2017","3 seasons, 3 episodes",17–67 min.,Pending,,9
Five Came Back,Historical drama,"March 31, 2017",3 episodes,59–69 min.,Miniseries,,9
Hot Girls Wanted: Turned On,Documentary,"April 21, 2017",6 episodes,41–58 min.,Miniseries,,9
The Keepers,Crime drama,"May 19, 2017",7 episodes,56–66 min.,Miniseries,,9
Daughters of Destiny,Documentary,"July 28, 2017",4 episodes,56–65 min.,Miniseries,,9
Fire Chasers,Documentary,"September 8, 2017",4 episodes,50–58 min.,Miniseries,,9
The Confession Tapes,True crime,"September 8, 2017","2 seasons, 11 episodes",41–54 min.,Pending,,9
Jack Whitehall: Travels with My Father,Travel documentary,"September 22, 2017","3 seasons, 13 episodes",28–61 min.,Pending,,9
The Day I Met El Chapo,Biography,"October 20, 2017","1 season, 3 episodes",48–61 min.,Ended,,9
Shot in the Dark,True crime,"November 17, 2017","1 season, 8 episodes",34–41 min.,Ended,,9
Wormwood,Psychological drama,"December 15, 2017",6 chapters,41–48 min.,Miniseries,,9
72 Dangerous Animals: Latin America,Nature,"December 22, 2017","1 season, 12 episodes",41–46 min.,Ended,,9
Dope,Documentary,"December 22, 2017","3 seasons, 12 episodes",36–48 min.,Pending,,9
The Toys That Made Us,Documentary,"December 22, 2017","2 seasons, 8 episodes",43–51 min.,"Season 3 due to premiere on November 15, 2019[152][153]",,9
Rotten,Documentary,"January 5, 2018","2 seasons, 12 episodes",48–63 min.,Pending,,9
Somebody Feed Phil,Travel documentary,"January 12, 2018","2 seasons, 12 episodes",55–63 min.,Renewed[149],,9
Drug Lords,Documentary,"January 19, 2018","2 seasons, 8 episodes",42–47 min.,Ended,,9
Dirty Money,Documentary,"January 26, 2018","1 season, 6 episodes",50–77 min.,Renewed[154],,9
Coach Snoop,Sport,"February 2, 2018","1 season, 8 episodes",28–30 min.,Ended,,9
First Team: Juventus,Sport,"February 16, 2018","2 parts, 6 episodes",37–42 min.,Ended,,9
Ugly Delicious,Travel documentary,"February 23, 2018","1 season, 8 episodes",46–55 min.,Renewed[155],,9
Flint Town,Documentary,"March 2, 2018",8 episodes,35–48 min.,Miniseries,,9
Girls Incarcerated,Documentary,"March 2, 2018","2 seasons, 16 episodes",37–47 min.,Pending,,9
Wild Wild Country,Documentary,"March 16, 2018",6 episodes,64–72 min.,Miniseries,,9
Rapture,Documentary,"March 30, 2018","1 season, 8 episodes",52–63 min.,Ended,,9
Bobby Kennedy for President,History,"April 27, 2018",4 chapters,59–66 min.,Miniseries,,9
Evil Genius: The True Story of America's Most Diabolical Bank Heist,True crime,"May 11, 2018",4 episodes,46–54 min.,Miniseries,,9
Explained,Docu-series,"May 23, 2018","2 seasons, 21 episodes",14–26 min.,Season 2 ongoing,,9
November 13: Attack on Paris,Documentary,"June 1, 2018",3 episodes,47–59 min.,Miniseries,,9
Dark Tourist,Travel documentary,"July 20, 2018","1 season, 8 episodes",39–42 min.,Ended,,9
Marching Orders,Docu-series,"August 3, 2018","1 season, 12 episodes",9–14 min.,Ended,,9
72 Dangerous Animals: Asia,Nature,"August 10, 2018","1 season, 12 episodes",44–48 min.,Ended,,9
Afflicted,Docu-series,"August 10, 2018","1 season, 7 episodes",37–46 min.,Ended,,9
Follow This,Docu-series,"August 23, 2018","3 parts, 20 episodes",15–20 min.,Ended[156],,9
First and Last,Docu-series,"September 7, 2018","1 season, 6 episodes",38–43 min.,Ended,,9
Boca Juniors Confidential,Docu-series,"September 14, 2018","1 season, 4 episodes",40–44 min.,Ended,,9
"Salt, Fat, Acid, Heat",Travel documentary,"October 11, 2018",4 episodes,40–48 min.,Miniseries,,9
FightWorld,Travel documentary,"October 12, 2018","1 season, 5 episodes",41–44 min.,Pending,,9
Terrorism Close Calls,Docu-series,"October 26, 2018","1 season, 10 episodes",47–49 min.,Pending,,9
Medal of Honor,Docu-series,"November 9, 2018","1 season, 8 episodes",46–61 min.,Pending,,9
Dogs,Docu-series,"November 16, 2018","1 season, 6 episodes",50–53 min.,Renewed[157],,9
Vai Anitta,Docu-series,"November 16, 2018","1 season, 6 episodes",25–35 min.,Pending,,9
Inside the Real Narcos,Docu-series,"December 14, 2018","1 season, 3 episodes",45–46 min.,Pending,,9
Sunderland 'Til I Die,Sport,"December 14, 2018","1 season, 8 episodes",37–46 min.,Pending,,9
The Innocent Man,True crime,"December 14, 2018",6 episodes,42–52 min.,Miniseries,,9
7 Days Out,Docu-series,"December 21, 2018","1 season, 6 episodes",47–48 min.,Pending,,9
Murder Mountain,True crime,"December 28, 2018","1 season, 6 episodes",43 min.,Pending,,9
Trigger Warning with Killer Mike,Docu-series,"January 18, 2019","1 season, 6 episodes",22–27 min.,Pending,,9
Conversations with a Killer: The Ted Bundy Tapes,True crime,"January 24, 2019",4 episodes,51–74 min.,Miniseries,,9
Examination of Conscience,True crime,"January 25, 2019","1 season, 3 episodes",51–54 min.,Pending,,9
Larry Charles' Dangerous World of Comedy,Docu-series,"February 15, 2019","1 season, 4 episodes",51–66 min.,Pending,,9
Losers,Sport,"March 1, 2019","1 collection, 8 episodes",25–37 min.,Pending,,9
Cricket Fever: Mumbai Indians,Sport,"March 1, 2019","1 season, 8 episodes",33–44 min.,Pending,,9
Formula 1: Drive to Survive,Sport,"March 8, 2019","1 season, 10 episodes",27–41 min.,Renewed[158],,9
The Disappearance of Madeleine McCann,True crime,"March 15, 2019",8 episodes,43–65 min.,Miniseries,,9
Our Planet,Nature documentary,"April 5, 2019",8 episodes,49–54 min.,Miniseries,,9
Street Food,Culinary art,"April 26, 2019","1 season, 9 episodes",30–34 min.,Pending,,9
1994,Docu-series,"May 17, 2019",5 episodes,44–52 min.,Miniseries,,9
Killer Ratings,Docu-series,"May 31, 2019","1 season, 7 episodes",42–58 min.,Pending,,9
The Chef Show,Culinary art,"June 7, 2019","2 volumes, 14 episodes",26–34 min.,Pending,,9
The Alcàsser Murders,True crime,"June 14, 2019","1 season, 5 episodes",53–66 min.,Pending,,9
Exhibit A,True crime,"June 28, 2019","1 season, 4 episodes",29–41 min.,Pending,,9
The Last Czars,Docu-series,"July 3, 2019","1 season, 6 episodes",42–50 min.,Pending,,9
Taco Chronicles,Culinary art,"July 12, 2019","1 season, 6 episodes",26–31 min.,Pending,,9
The Family,Docu-series,"August 9, 2019",5 episodes,47–54 min.,Miniseries,,9
Happy Jail,Docu-series,"August 14, 2019",5 episodes,29–37 min.,Miniseries,,9
Diagnosis,Docu-series,"August 16, 2019","1 season, 7 episodes",43–49 min.,Pending,,9
"The Mind, Explained",Docu-series,"September 12, 2019",5 episodes,19–22 min.,Miniseries,,9
Inside Bill's Brain: Decoding Bill Gates,Docu-series,"September 20, 2019",3 episodes,51–56 min.,Miniseries,,9
Living Undocumented,Docu-series,"October 2, 2019","1 season, 6 episodes",38–46 min.,Pending,,9
Unnatural Selection,Docu-series,"October 18, 2019",4 episodes,62–70 min.,Miniseries,,9
,,,,,,,9
"Breakfast, Lunch & Dinner[159]",Docu-series,"October 23, 2019[111]",TBA,TBA,Pending,,9
The Devil Next Door[160],Docu-series,"November 4, 2019",6 episodes,TBA,Miniseries,,9
White Rabbit Project,Science investigation,"December 9, 2016","1 season, 10 episodes",45–48 min.,Ended[161],,10
Chasing Cameron,Celebrity,"December 27, 2016","1 season, 10 episodes",26–33 min.,Ended[162],,10
Ultimate Beastmaster,Competition,"February 24, 2017","3 seasons, 29 episodes",41–84 min.,Ended,,10
Queer Eye,Makeover reality,"February 7, 2018","4 seasons, 32 episodes",43–52 min.,Renewed[163],,10
Nailed It!,Competition,"March 9, 2018","3 seasons, 19 episodes",12–35 min.,Pending,,10
Fastest Car,Motoring television series,"April 6, 2018","2 seasons, 15 episodes",41–52 min.,Pending,,10
Cooking on High,Cooking show,"June 22, 2018","1 season, 12 episodes",13–15 min.,Ended,,10
Sugar Rush,Baking competition,"July 13, 2018","2 seasons, 14 episodes",47–55 min.,Pending,,10
Amazing Interiors,Reality,"July 20, 2018","1 season, 12 episodes",21–28 min.,Ended,,10
Magic for Humans,Reality,"August 17, 2018","1 season, 6 episodes",22–25 min.,"Season 2 due to premiere on December 6, 2019[164]",,10
Stay Here,Reality,"August 17, 2018","1 season, 8 episodes",31–33 min.,Ended,,10
Car Masters: Rust to Riches,Motoring television series,"September 14, 2018","1 season, 8 episodes",31–40 min.,Ended,,10
Battlefish,Reality,"September 21, 2018","1 season, 8 episodes",38–46 min.,Ended,,10
Made in Mexico,Spanish language reality series,"September 28, 2018","1 season, 8 episodes",45–54 min.,Ended,,10
Dancing Queen,Celebrity,"October 5, 2018","1 season, 8 episodes",38–46 min.,Ended,,10
The Curious Creations of Christine McConnell,Cooking show,"October 12, 2018","1 season, 6 episodes",24–29 min.,Ended [165],,10
Haunted,Horror,"October 19, 2018","2 seasond, 12 episodes",20–31 min.,Pending,,10
Westside,Music,"November 9, 2018","1 season, 8 episodes",46–58 min.,Pending,,10
The Final Table,Culinary competition,"November 20, 2018","1 season, 10 episodes",48–60 min.,Pending,,10
Death by Magic,Reality,"November 30, 2018","1 season, 8 episodes",31–39 min.,Pending,,10
Nailed It! Holiday,Reality competition,"December 7, 2018","1 season, 7 episodes",33–35 min.,"Season 2 due to premiere on November 22, 2019[70]",,10
Tidying Up with Marie Kondo,Reality show,"January 1, 2019","1 season, 8 episodes",35–47 min.,Pending,,10
¡Nailed it! México,Reality,"February 8, 2019","1 season, 6 episodes",32–34 min.,Pending,,10
Dating Around,Reality,"February 14, 2019","1 season, 6 episodes",24–30 min.,Pending,,10
Selling Sunset,Reality,"March 22, 2019","1 season, 8 episodes",28–42 min.,Pending,,10
You vs. Wild,Interactive Reality,"April 10, 2019","1 season, 8 episodes",14–26 min.,Pending,,10
Flinch,Reality television/game show,"May 3, 2019","1 season, 10 episodes",20–25 min.,Pending,,10
Jailbirds,Reality television,"May 10, 2019","1 season, 10 episodes",37–47 min.,Pending,,10
Awake: The Million Dollar Game,Reality television,"June 14, 2019","1 season, 8 episodes",35–41 min.,Pending,,10
Extreme Engagement,Reality television,"July 12, 2019","1 season, 8 episodes",32–40 min.,Pending,,10
Basketball or Nothing,Reality competition,"August 2, 2019","1 season, 6 episodes",31–37 min.,Pending,,10
Hyperdrive,Reality competition,"August 21, 2019","1 season, 10 episodes",43-61 min.,Pending,,10
Styling Hollywood,Reality television,"August 30, 2019","1 season, 8 episodes",33–40 min.,Pending,,10
Rhythm + Flow,Music competition,"October 9, 2019","1 season, 7 episodes",51-63 min.,Season 1 ongoing,,10
,,,,,,,10
Nailed It! France,French language reality competition,"October 25, 2019[111]",TBA,TBA,Pending,,10
Nailed It! Spain[166],Spanish language reality competition,"October 25, 2019[111]",TBA,TBA,Pending,,10
Prank Encounters[167],Prank show,"October 25, 2019[168]",TBA,TBA,Pending,,10
Queer Eye: We're in Japan![169],Reality television,"November 1, 2019[170]",4 episodes,TBA,Pending,,10
Sugar Rush Christmas,Baking competition,"November 29, 2018[70]",TBA,TBA,Pending,,10
Nailed It! Germany[166],German language reality competition,"January 17, 2020[171]",TBA,TBA,Pending,,10
Chelsea,Late-night,"May 11, 2016","2 seasons, 120 episodes[b]",27–64 min.,Ended[172],,11
Bill Nye Saves the World,Science,"April 21, 2017","3 seasons, 25 episodes",26–41 min.,Ended,,11
Beyond Stranger Things,Aftershow,"October 27, 2017","1 season, 7 episodes",15–25 min.,Ended,,11
My Next Guest Needs No Introduction with David Letterman,Interview,"January 12, 2018","2 seasons, 12 episodes",41–58 min.,Pending,,11
The Joel McHale Show with Joel McHale,Comedy,"February 18, 2018","2 parts, 19 episodes",22–28 min.,Ended[173],,11
A Little Help with Carol Burnett,Variety show,"May 4, 2018","1 season, 12 episodes",21–29 min.,Ended,,11
Busted!,Korean language variety show,"May 4, 2018","1 season, 10 episodes",75–98 min.,"Season 2 due to premiere on November 8, 2019[174]",,11
The Break with Michelle Wolf,Late-night,"May 27, 2018","1 season, 10 episodes",27 min.,Ended[173],,11
Norm Macdonald Has a Show,Talk show,"September 14, 2018","1 season, 10 episodes",26–35 min.,Ended[175],,11
Patriot Act with Hasan Minhaj,Talk show,"October 28, 2018","4 volumes, 25 episodes",23–30 min.,Renewed[176],,11
The Fix,Panel show,"December 14, 2018","1 season, 10 episodes",23–31 min.,Pending,,11
Lilyhammer,Comedy-drama,"February 6, 2012","3 seasons, 24 episodes",43–58 min.,Ended[177],,12
Between,Science fiction/drama,"May 21, 2015","2 seasons, 12 episodes",44 min.,Ended,,12
H2O: Mermaid Adventures,Animation,"May 22, 2015","2 seasons, 26 episodes",24 min.,Ended,,12
Atelier,Coming of age drama,"December 1, 2015","1 season, 13 episodes",43–51 min.,Ended[181],,12
Degrassi: Next Class,Teen drama,"January 15, 2016","4 seasons, 40 episodes",24 min.,Ended[183],,12
Lost & Found Music Studios,Musical teen drama,"April 1, 2016","2 seasons, 27 episodes",27–29 min.,Ended,,12
Good Morning Call,Slice of life drama,"May 13, 2016","2 seasons, 27 episodes",43–49 min.,Ended,,12
Hibana: Spark,Drama,"June 2, 2016","1 season, 10 episodes",46–60 min.,Ended,,12
Beat Bugs,Animation,"August 3, 2016","3 seasons, 52 episodes",15–24 min.,Pending,,12
The Cuba Libre Story,Documentary,"December 8, 2016","1 season, 8 episodes",51–53 min.,Ended,,12
Bottersnikes and Gumbles,Animation,"August 19, 2016","2 seasons, 52 episodes",12 min.,Ended,,12
Kazoops!,Animation,"September 2, 2016","3 seasons, 26 episodes",19–21 min.,Ended,,12
Four Seasons in Havana,Crime drama,"September 12, 2016","1 season, 4 episodes",86–96 min.,Ended,,12
Paranoid,Thriller,"November 17, 2016","1 season, 8 episodes",42–45 min.,Ended[189],,12
Dirk Gently's Holistic Detective Agency,Comic science fiction,"December 11, 2016","2 seasons, 18 episodes",41–53 min.,Ended[190],,12
Crazyhead,Comedy,"December 16, 2016","1 season, 6 episodes",42–45 min.,Ended[191],,12
Travelers,Science fiction/drama,"December 23, 2016","2 seasons, 24 episodes",44–50 min.,Ended[c],,12
Frontier,Historical drama,"January 20, 2017","3 seasons, 18 episodes",43–52 min.,Pending,,12
Samurai Gourmet,Drama,"March 17, 2017","1 season, 12 episodes",16–24 min.,Ended[195],,12
Anne with an E,Historical drama,"May 12, 2017","2 seasons, 17 episodes",44–88 min.,"Season 3 due to premiere on January 3, 2020[196]",,12
El Chapo,Drama,"June 16, 2017","3 seasons, 34 episodes",39–55 min.,Ended[198],,12
Kantaro: The Sweet Tooth Salaryman,Comedy,"July 7, 2017","1 season, 12 episodes",24 min.,Ended[199],,12
The Worst Witch,Children's fantasy,"July 21, 2017","3 seasons, 38 episodes",28–59 min.,Pending,,12
Million Yen Women,Drama,"August 15, 2017","1 season, 12 episodes",24 min.,Ended[202],,12
Alias Grace,Drama,"November 3, 2017",6 episodes,43–46 min.,Miniseries,,12
Erased,Supernatural mystery,"December 15, 2017","1 season, 12 episodes",26–32 min.,Ended,,12
The End of the F***ing World,Comedy,"January 5, 2018","1 season, 8 episodes",18–22 min.,"Season 2 due to premiere on November 5, 2019[204]",,12
Mob Psycho 100,Supernatural drama,"January 12, 2018","1 season, 12 episodes",26 min.,Ended[205],,12
Damnation,Period drama,"February 1, 2018","1 season, 10 episodes",42–55 min.,Ended[206],,12
Collateral,Thriller,"March 9, 2018",4 episodes,56–59 min.,Miniseries,,12
Requiem,Supernatural thriller,"March 23, 2018","1 season, 6 episodes",57–58 min.,Ended,,12
Troy: Fall of a City,Historical,"April 6, 2018","1 season, 8 episodes",57–58 min.,Ended,,12
The Letdown,Comedy,"April 21, 2018","2 seasons, 13 episodes",27–32 min.,Pending,,12
The New Legends of Monkey,Fantasy adventure,"April 27, 2018","1 season, 10 episodes",26 min.,Ended,,12
Safe,Thriller,"May 10, 2018","1 season, 8 episodes",41–48 min.,Ended,,12
Kiss Me First,Drama,"June 29, 2018","1 season, 6 episodes",46–48 min.,Ended,,12
I Am a Killer,Docu-series,"August 3, 2018","1 season, 10 episodes",50–53 min.,Renewed[210],,12
Wanderlust,Drama,"October 19, 2018","1 season, 6 episodes",56–59 min.,Ended,,12
Robozuna,Animation,"October 25, 2018","2 seasons, 20 episodes",22–23 min.,Pending,,12
Pine Gap,Political thriller,"December 7, 2018","1 season, 6 episodes",54–59 min.,Pending,,12
Perfume,Thriller,"December 21, 2018","1 season, 6 episodes",53–67 min.,Pending,,12
Watership Down,Animation/fantasy,"December 23, 2018",4 episodes,50–51 min.,Miniseries,,12
Black Earth Rising,Thriller,"January 25, 2019",8 episodes,60 min.,Miniseries,,12
Nightflyers,Science fiction,"February 1, 2019","1 season, 10 episodes",40–59 min.,Ended[215],,12
Northern Rescue,Drama,"March 1, 2019","1 season, 10 episodes",44–45 min.,Pending,,12
Traitors,Period drama,"March 29, 2019","1 season, 6 episodes",46–47 min.,Pending,,12
Tijuana,Drama,"April 5, 2019","1 season, 11 episodes",35–45 min.,Pending,,12
Undercover,Crime drama,"May 3, 2019","1 season, 10 episodes",46–54 min.,Renewed [218],,12
Designated Survivor: 60 Days,Drama,"July 1, 2019","1 season, 16 episodes",64–83 min.,Pending,,12
The Spy,Drama,"September 6, 2019",6 episodes,47–62 min.,Miniseries,,12
Interior Design Masters,Reality,"October 18, 2019","1 season, 8 episodes",42–48 min.,Pending,,12
,,,,,,,12
Drug Squad: Costa del Sol,Police procedural,"October 25, 2019",TBA,TBA,Pending,,12
Terrace House: Boys & Girls in the City,Reality television,"September 2, 2015","2 parts, 46 episodes",24–38 min.,Ended[220],,13
Terrace House: Aloha State,Reality television,"November 1, 2016","4 parts, 36 episodes",30–47 min.,Ended[221],,13
Ainori Love Wagon: Asian Journey,Reality television,"October 26, 2017","2 seasons, 44 episodes",27–37 min.,Ended,,13
Terrace House: Opening New Doors,Reality television,"December 19, 2017","6 parts, 49 episodes",32–44 min.,Ended,,13
Terrace House: Tokyo 2019–2020,Reality television,"May 14, 2019","2 parts, 19 episodes",35–57 min.,Part 2 ongoing,,13
Ainori Love Wagon: African Journey,Reality television,"September 5, 2019","1 season, 7 episodes",25-28 min.,Season 1 ongoing,,13
Arrested Development (seasons 4–5),Comedy,"May 26, 2013","2 seasons, 38 episodes[d]",22–23 min.,Ended,,14
Star Wars: The Clone Wars (season 6),Animation sci-fi,"March 7, 2014","1 season, 13 episodes",22 min.,Ended[e][223][224],,14
The Killing (season 4),Crime drama,"August 1, 2014","1 season, 6 episodes",54–60 min.,Ended[225],,14
Trailer Park Boys (seasons 8–12),Mockumentary,"September 5, 2014","5 seasons, 50 episodes",22–32 min.,Ended,,14
Longmire (seasons 4–6),Crime drama,"September 10, 2015","3 seasons, 30 episodes",55–71 min.,Ended[227],,14
Midnight Diner (season 4),Drama,"October 21, 2016","1 season, 10 episodes",23–24 min.,"Season 5 due to premiere on October 31, 2019[228]",,14
Black Mirror (seasons 3–5),Science fiction anthology,"October 21, 2016","3 seasons, 15 episodes",52–89 min.,Pending,,14
Lovesick (seasons 2–3),Comedy,"November 17, 2016","2 seasons, 16 episodes",25–28 min.,Ended,,14
The Last Kingdom (seasons 2–3),Period drama,"May 5, 2017","2 seasons, 18 episodes",52–59 min.,Renewed[231],,14
Real Rob (season 2),Comedy,"September 29, 2017","1 season, 8 episodes",30–38 min.,Ended,,14
Glitch (seasons 2–3),Paranormal-drama,"November 28, 2017","2 seasons, 12 episodes",52–57 min.,Ended[232],,14
The Staircase (3 episodes),Docu-series,"June 8, 2018","1 season, 3 episodes",46–53 min.,Ended,,14
Paquita Salas (seasons 2–3),Mockumentary,"June 29, 2018","2 seasons, 11 episodes",23–38 min.,Pending,,14
Comedians in Cars Getting Coffee (seasons 10–11),Comedy,"July 6, 2018","2 seasons, 24 episodes",12–41 min.,Pending,,14
Inside the World’s Toughest Prisons (seasons 2–3),Docu-series,"July 6, 2018","2 seasons, 8 episodes",47–54 min.,Pending,,14
MeatEater (seasons 7–8),Docu-series,"October 2, 2018","2 seasons, 24 episodes",22–30 min.,Pending,,14
Little Things (season 2),Comedy,"October 5, 2018","1 season, 8 episodes",23–26 min.,"Season 3 due to premiere on November 9, 2019[234]",,14
Hip-Hop Evolution (seasons 2–3),Docu-series,"October 19, 2018","2 seasons, 8 episodes",38–52 min.,Pending,,14
Travelers (season 3),Science fiction/drama,"December 14, 2018","1 season, 10 episodes",43–50 min.,Ended[235],,14
Lucifer (season 4),Fantasy/police procedural,"May 8, 2019","1 season, 10 episodes",48–55 min.,Renewed for final season[237],,14
Slasher (season 3),Horror,"May 23, 2019","1 season, 8 episodes",45–48 min.,Pending,,14
Designated Survivor (season 3),Political thriller,"June 7, 2019","1 season, 10 episodes",47–53 min.,Ended[78],,14
Armistead Maupin's Tales of the City (series 4),Drama,"June 7, 2019",10 episodes,46–60 min.,Miniseries,,14
Money Heist (part 3),Thriller,"July 19, 2019","1 season, 8 episodes",41–57 min.,Renewed[239],,14
Top Boy (series 3),Crime drama,"September 13, 2019","1 season, 10 episodes",44–66 min.,Renewed[240],,14
Trailer Park Boys: Swearnet Live,Mockumentary,"October 1, 2014",,"1 hour, 15 min.",,,15
Trailer Park Boys: Live at the North Pole,Mockumentary,"November 15, 2014",,"1 hour, 28 min.",,,15
BoJack Horseman Christmas Special: Sabrina's Christmas Wish,Animation,"December 19, 2014",,25 min.,,,15
Sense8: Creating the World,Making-of,"August 8, 2015",,25 min.,,,15
"Trailer Park Boys: Drunk, High And Unemployed Live In Austin",Mockumentary,"December 9, 2015",,"1 hour, 15 min.",,,15
Marco Polo: One Hundred Eyes,Period drama,"December 26, 2015",,28 min.,,,15
Puss in Book: Trapped in an Epic Tale,Animation / Interactive fiction,"June 20, 2017",,23 min.,,,15
Buddy Thunderstruck: The Maybe Pile,Animation / Interactive fiction,"July 14, 2017",,13 min.,,,15
Beat Bugs: All Together Now,Animation,"November 21, 2017",,50 min.,,,15
DreamWorks Home: For the Holidays,Animation,"December 1, 2017",,45 min.,,,15
A StoryBots Christmas,Animation,"December 1, 2017",,25 min.,,,15
Stretch Armstrong: The Breakout,Animation / Interactive fiction,"March 13, 2018",,45 min.,,,15
Super Monsters Save Halloween,Animation,"October 5, 2018",,23 min.,,,15
"Club de Cuervos Presents: I, Potro",Mockumentary,"October 19, 2018",,50 min.,,,15
Free Rein: The Twelve Neighs of Christmas,Teen drama,"December 7, 2018",,57 min.,,,15
Super Monsters and the Wish Star,Animation,"December 7, 2018",,27 min.,,,15
Prince of Peoria: A Christmas Moose Miracle,Sitcom,"December 17, 2018",,29 min.,,,15
Aggretsuko: We Wish You a Metal Christmas,Anime,"December 20, 2018",,22 min.,,,15
Porta dos Fundos: The Last Hangover,Portuguese language comedy-drama,"December 21, 2018",,44 min.,,,15
Black Mirror: Bandersnatch,Science fiction/drama/Interactive,"December 28, 2018",,"1 hour, 30 min.",,,15
Free Rein: Valentine's Day,Teen drama,"February 1, 2019",,50 min.,,,15
True: Happy Hearts Day,Animation,"February 1, 2019",,23 min.,,,15
Super Monsters Furever Friends,Animation,"April 16, 2019",,58 min.,,,15
Malibu Rescue – The Movie,Comedy,"May 13, 2019",,"1 hour, 9 min.",,,15
Oprah Winfrey Presents When They See Us Now,Interview,"June 12, 2019",,"1 hour, 1 min.",,,15
Super Monsters Back to School,Animation,"August 16, 2019",,23 min.,,,15
True: Tricky Treat Day,Animation,"September 20, 2019",,23 min.,,,15
Super Monsters: Vida's First Halloween,Animation,"October 4, 2019",,24 min.,,,15
The Spooky Tale of Captain Underpants Hack-a-Ween,Animation,"October 8, 2019",,46 min.,,,15
,,,,,,,15
My Next Guest with David Letterman and Shah Rukh Khan[241],Talk show,"October 25, 2019",,"1 hour, 1 min.",,,15
True: Grabbleapple Harvest,Animation,"November 1, 2019[242]",,23 min.,,,15
GO! The Unforgettable Party[243],Spanish language musical,"November 15, 2019",,TBA,,,15
Super Monsters Save Christmas[244],Animation,"November 26, 2019",,TBA,,,15
True: Winter Wishes[244],Animation,"November 26, 2019",,TBA,,,15
Spirit Riding Free: The Spirit of Christmas[244],Animation,"December 6, 2019",,TBA,,,15
Harvey Girls' First Snowflake Festival,Animation,"December 21, 2019",,TBA,,,15
The Witcher[245][246],Fantasy drama,Q4 2019[247],,,,,16
The Disastrous Life of Saiki K.: Reawakened[248],Anime,Winter 2019,,,,,16
Levius[249],Anime,Winter 2019,,,,,16
The Goop Lab with Gwyneth Paltrow[250][251],Docu-series,Late 2019[251],,,,,16
Age of Samurai: Battle for Japan[252],Docu-series historical drama,2019,,,,,16
Dino Girl Gauko[253],Anime,2019,,,,,16
Holiday Secrets[254][255],German language drama miniseries,2019[254],,,,,16
Messiah[256],Drama,2019[256],,,,,16
October Faction[257],Horror,2019[258],,,,,16
Puerta 7[259],Spanish language sports crime drama,2019,,,,,16
Sky Rojo[260],Spanish language action drama,2019,,,,,16
The Bonfire of Destiny (co-production with TF1)[261],French language historical drama,2019,,,,,16
The Gift[262],Turkish language supernatural drama,2019[263],,,,,16
The Movies That Made Us[264],Docu-series,2019,,,,,16
V-Wars[265],Vampire drama,2019[258],,,,,16
Wizards: Tales of Arcadia[266],Animation,2019[266],,,,,16
AJ and the Queen[267],Comedy,2020[268],,,,,16
Alice in Borderland[269][270],Japanese language Fantasy,2020,,,,,16
Alma[271],Spanish language supernatural drama,2020,,,,,16
Blood and Water[272],Teen drama,2020,,,,,16
Boca a Boca[273],Portuguese language Comedy,2020,,,,,16
Bridgerton[274],Romance,2020[275],,,,,16
Cursed[276],Fantasy drama,2020[277],,,,,16
Días de Navidad[278],Spanish language drama,2020,,,,,16
EDEN[279],Anime,2020,,,,,16
El desorden que dejas[278],Spanish language drama,2020,,,,,16
Emily's Wonder Lab[280],Educational,2020,,,,,16
Fate: The Winx Club Saga[281],Teen drama,2020,,,,,16
Followers[282],Japanese language Drama,2020[283],,,,,16
Gabby's Dollhouse[284],Animation,2020[284],,,,,16
